Country,Holocene Volcanoes,Active since 1800 CE,Active since 1960 CE,Currently Erupting (17 March 2022)
Algeria,3,0,0,
Antarctica,19,5,2,Erebus
Argentina,36,6,3,
Armenia,5,0,0,
Australia,3,2,2,
Azerbaijan,2,0,0,
Bolivia,11,1,1,
Burma (Myanmar),1,0,0,
Cameroon,3,1,1,
Canada,24,1,0,
Cape Verde,2,1,1,
Chad,4,0,0,
Chile,92,34,19,"Villarrica, Nevados de Chillan"
China,10,3,0,
Colombia,14,8,4,Nevado del Ruiz
Comoros,2,1,1,
Costa Rica,10,6,5,"Rincon de la Vieja, Turrialba"
Djibouti,4,2,1,
Dominica,5,1,1,
DR Congo,4,3,2,"Nyiragongo, Nyamulagira"
Ecuador,35,17,11,"Reventador, Sangay, Wolf"
El Salvador,20,5,3,
Equatorial Guinea,3,1,0,
Eritrea,8,2,1,
Ethiopia,53,10,5,Erta Ale
Fiji,3,0,0,
France,20,11,8,
Georgia,2,0,0,
Germany,1,0,0,
Greece,5,2,0,
Grenada,2,1,1,
Guatemala,23,7,5,"Santa Maria, Fuego"
Honduras,3,0,0,
Iceland,34,14,9,
India,2,1,1,Barren Island
Indonesia,121,74,55,"Dukono, Ibu, Semeru, Karangetang, Lewotolok, Merapi"
Iran,6,0,0,
Italy,14,6,2,"Stromboli, Etna"
Japan,122,62,39,"Suwanosejima, Aira"
Jordan,1,0,0,
Kenya,21,5,0,
Madagascar,5,0,0,
Mexico,37,9,5,Popocatepetl
Mongolia,3,0,0,
Netherlands,2,0,0,
New Zealand,25,9,8,
Nicaragua,17,8,6,"Masaya, San Cristobal, Telica"
Niger,1,0,0,
North Korea,2,1,0,
Norway,2,1,1,
Panama,2,0,0,
Papua New Guinea,47,20,13,"Bagana, Manam, Langila, Kadovar"
Peru,17,5,3,Sabancaya
Philippines,38,15,6,
Portugal,13,5,1,
Russia,117,49,27,"Bezymianny, Sheveluch, Karymsky"
Rwanda,3,1,0,
Saint Kitts and Nevis,2,0,0,
Saint Lucia,1,0,0,
Saint Vincent and the Grenadines,1,1,1,
Samoa,2,1,0,
Saudi Arabia,8,1,0,
Solomon Islands,8,4,2,"Tinakula, Kavachi"
South Africa,2,1,1,
South Korea,3,0,0,
Spain,8,4,2,
Sudan,4,0,0,
Syria,2,0,0,
Taiwan,2,1,0,
Tanzania,6,3,1,Ol Doinyo Lengai
Tonga,21,15,10,Tofua
Turkey,10,2,0,
Uganda,7,0,0,
United Kingdom,13,10,9,Saunders
United States,161,63,40,"Semisopochnoi, Great Sitkin, Pavlof, Kilauea"
Vanuatu,14,9,8,"Yasur, Ambae"
Vietnam,2,1,0,
Yemen,11,3,2,
